station,glatos_array,station_no,consecutive_deploy_no,intend_lat,intend_long,deploy_lat,deploy_long,recover_lat,recover_long,deploy_date_time,recover_date_time,bottom_depth,riser_length,instrument_depth,ins_model_no,glatos_ins_frequency,ins_serial_no,code_map,code_map_comment,deployed_by,comments,glatos_seasonal,glatos_project,glatos_vps
HAM-039,HAM,39,7,NA,NA,43.28176,-79.85158,NA,NA,2021-06-07T13:12:00Z,2022-06-09T18:23:00Z,17.9,NA,NA,VR2AR,69,549109,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-045,HAM,45,5,NA,NA,43.3046,-79.80238,NA,NA,2021-06-16T16:12:00Z,2022-09-01T15:45:00Z,1.2,NA,NA,VR2W,69,121991,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-023,HAM,23,10,NA,NA,43.28569,-79.86764,NA,NA,2021-06-16T17:00:00Z,2022-06-09T18:51:00Z,9,NA,NA,VR2AR,69,548243,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-043,HAM,43,6,NA,NA,43.27957,-79.8915,NA,NA,2021-06-16T17:20:00Z,2022-09-15T16:38:00Z,2,NA,NA,VR2W,69,121999,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-063,HAM,63,5,NA,NA,43.2822,-79.88451,NA,NA,2021-06-16T17:52:00Z,2022-09-15T15:59:00Z,1.5,NA,NA,VR2W,69,119660,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-017,HAM,17,9,NA,NA,43.29488,-79.82113,NA,NA,2021-06-16T18:00:00Z,2022-06-09T13:32:00Z,19.8,NA,NA,VR2AR,69,547993,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-041,HAM,41,8,NA,NA,43.2767,-79.83893,NA,NA,2021-06-16T18:18:00Z,2022-09-15T17:28:00Z,NA,NA,NA,VR2W,69,131525,MAP-113,NA,NA,NA,No,HAMLO,No
HAM-046,HAM,46,7,NA,NA,43.30771,-79.82588,NA,NA,2021-06-16T18:37:00Z,2022-09-15T18:34:00Z,2,NA,NA,VR2W,69,133002,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-009,HAM,9,10,NA,NA,43.28036,-79.80383,NA,NA,2021-06-17T17:00:00Z,2021-10-08T04:00:00Z,13,NA,NA,VR2W,69,127827,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-034,HAM,34,10,NA,NA,43.27142,-79.80812,NA,NA,2021-06-17T17:45:00Z,2022-09-15T18:13:00Z,1.6,NA,NA,VR2W,69,121993,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-048,HAM,48,6,NA,NA,43.27311,-79.88506,NA,NA,2021-06-17T19:05:00Z,2022-09-15T17:08:00Z,2.5,NA,NA,VR2W,69,133001,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-051,HAM,51,6,NA,NA,43.26976,-79.87317,NA,NA,2021-06-17T19:19:00Z,2022-09-09T18:16:00Z,3.2,NA,NA,VR2W,69,121988,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-047,HAM,47,6,NA,NA,43.30267,-79.83991,NA,NA,2021-06-17T19:45:00Z,2022-09-15T18:47:00Z,1.5,NA,NA,VR2W,69,119706,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-013,HAM,13,9,NA,NA,43.29691,-79.80157,NA,NA,2021-06-23T18:30:00Z,2022-09-13T16:31:00Z,9.7,NA,NA,VR2W,69,119681,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-011,HAM,11,7,NA,NA,43.2773,-79.8669,NA,NA,2021-06-23T19:30:00Z,2022-09-07T17:27:00Z,12.6,NA,NA,VR2W,69,133111,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-035,HAM,35,6,NA,NA,43.26228,-79.77238,NA,NA,2021-06-28T17:15:00Z,2022-10-18T14:59:00Z,2,NA,NA,VR2W,69,131522,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-012,HAM,12,10,NA,NA,43.30048,-79.80591,NA,NA,2021-06-28T18:30:00Z,2022-09-15T19:10:00Z,7.6,NA,NA,VR2W,69,127839,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-053,HAM,53,7,NA,NA,43.2759,-79.86333,NA,NA,2021-06-28T19:07:00Z,2022-09-08T19:10:00Z,6.3,NA,NA,VR2W,69,127837,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-036,HAM,36,10,NA,NA,43.27139,-79.8695,NA,NA,2021-06-28T20:00:00Z,2022-08-03T01:13:00Z,NA,NA,NA,VR2W,69,131493,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-058,HAM,58,5,NA,NA,43.31292,-79.8061,NA,NA,2021-07-19T18:57:00Z,2022-09-01T15:25:00Z,1.2,NA,NA,VR2W,69,119690,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-030,HAM,30,8,NA,NA,43.27192,-79.92519,NA,NA,2021-09-10T18:52:00Z,2022-10-18T16:13:00Z,NA,NA,NA,VR2W,69,119662,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-032,HAM,32,9,NA,NA,43.27973,-79.89346,NA,NA,2021-09-10T19:20:00Z,2022-09-28T14:00:00Z,1.9,NA,NA,VR2W,69,132999,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-042,HAM,42,6,NA,NA,43.26877,-79.9348,NA,NA,2021-09-11T20:00:00Z,NA,NA,NA,NA,VR2W,69,133112,NA,code map not available (receiver currently deployed),NA,NA,No,HAMLO,No
HAM-018,HAM,18,9,NA,NA,43.27267,-79.878,NA,NA,2021-10-19T18:30:00Z,2022-06-09T19:06:00Z,6.1,NA,NA,VR2AR,69,548257,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-015,HAM,15,9,NA,NA,43.29365,-79.85536,NA,NA,2021-10-19T18:45:00Z,2022-06-09T19:27:00Z,6.7,NA,NA,VR2AR,69,548259,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-005,HAM,5,8,NA,NA,43.28133,-79.86433,NA,NA,2021-10-19T19:00:00Z,2022-06-09T18:35:00Z,14.6,NA,NA,VR2AR,69,547990,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-021,HAM,21,8,NA,NA,43.28578,-79.82647,NA,NA,2021-10-19T19:13:00Z,2022-06-09T17:56:00Z,16.6,NA,NA,VR2AR,69,547996,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-003,HAM,3,9,NA,NA,43.29461,-79.80053,NA,NA,2021-10-19T19:25:00Z,2022-06-09T17:45:00Z,15.6,NA,NA,VR2AR,69,549107,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-025,HAM,25,9,NA,NA,43.30969,-79.81158,NA,NA,2021-10-19T19:37:00Z,2022-06-09T13:20:00Z,5.1,NA,NA,VR2AR,69,548283,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-001,HAM,1,9,NA,NA,43.30611,-79.81861,NA,NA,2021-10-20T14:07:00Z,2022-11-22T17:25:00Z,NA,NA,NA,VR2W,69,127832,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-002,HAM,2,9,NA,NA,43.28685,-79.79576,NA,NA,2021-10-20T14:50:00Z,2022-11-22T16:43:00Z,22.3,NA,NA,VR2W,69,127833,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-007,HAM,7,9,NA,NA,43.30139,-79.83972,NA,NA,2021-10-20T17:50:00Z,2022-11-17T16:05:00Z,10.2,NA,NA,VR2W,69,126879,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-009,HAM,9,11,NA,NA,43.28036,-79.80383,NA,NA,2021-10-27T15:00:00Z,2022-09-15T17:57:00Z,13,NA,NA,VR2W,69,127827,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-004,HAM,4,8,NA,NA,43.28714,-79.84452,NA,NA,2021-10-27T15:30:00Z,2022-11-22T15:05:00Z,25,NA,NA,VR2W,69,131524,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-028,HAM,28,9,NA,NA,43.27556,-79.88194,NA,NA,2021-10-27T20:05:00Z,2022-11-17T15:26:00Z,7.8,NA,NA,VR2W,69,126878,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-037,HAM,37,6,NA,NA,43.2789,-79.88599,NA,NA,2021-11-09T19:17:00Z,2022-11-14T18:40:00Z,4.9,NA,NA,VR2W,69,119693,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-019,HAM,19,9,NA,NA,43.27811,-79.85158,NA,NA,2021-11-09T19:37:00Z,2022-11-14T19:52:00Z,18,NA,NA,VR2W,69,127847,MAP-114,NA,NA,NA,No,HAMLO,No
HAM-006,HAM,6,9,NA,NA,43.30664,-79.80837,NA,NA,2021-11-10T15:40:00Z,2022-11-17T16:27:00Z,8.2,NA,NA,VR2W,69,127850,MAP-113,NA,NA,NA,No,HAMLO,No
HAM-066,HAM,66,3,NA,NA,43.29282,-79.88101,NA,NA,2022-04-05T16:50:00Z,2022-09-28T19:43:00Z,0.6,NA,NA,VR2W,69,127843,MAP-115,NA,NA,NA,Yes,HAMLO,No
HAM-067,HAM,67,3,NA,NA,43.29409,-79.87926,NA,NA,2022-04-05T17:22:00Z,2022-09-28T20:09:00Z,0.8,NA,NA,VR2W,69,137957,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-059,HAM,59,3,NA,NA,43.29484,-79.8759,NA,NA,2022-04-05T17:45:00Z,2022-09-28T20:15:00Z,0.8,NA,NA,VR2W,69,137955,MAP-115,NA,NA,NA,Yes,HAMLO,No
HAM-061,HAM,61,3,NA,NA,43.29002,-79.88233,NA,NA,2022-04-05T18:00:00Z,2022-09-28T18:35:00Z,0.8,NA,NA,VR2W,69,137956,MAP-115,NA,NA,NA,Yes,HAMLO,No
HAM-033,HAM,33,6,NA,NA,43.29208,-79.88394,NA,NA,2022-04-05T18:30:00Z,2022-09-28T18:20:00Z,0.8,NA,NA,VR2W,69,127828,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-060,HAM,60,3,NA,NA,43.29026,-79.88512,NA,NA,2022-04-05T18:50:00Z,2022-09-28T18:49:00Z,0.7,NA,NA,VR2W,69,127836,MAP-115,NA,NA,NA,Yes,HAMLO,No
HAM-062,HAM,62,3,NA,NA,43.29034,-79.8864,NA,NA,2022-04-05T19:20:00Z,2022-11-03T15:00:00Z,0.8,NA,NA,VR2W,69,127840,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-068,HAM,68,1,NA,NA,43.28967,-79.88531,NA,NA,2022-04-05T19:45:00Z,2022-09-28T18:45:00Z,0.7,NA,NA,VR2W,69,137954,MAP-115,NA,NA,NA,Yes,HAMLO,No
HAM-029,HAM,29,8,NA,NA,43.28936,-79.88731,NA,NA,2022-04-05T20:00:00Z,2022-09-28T18:57:00Z,1,NA,NA,VR2W,69,132818,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-025,HAM,25,10,NA,NA,43.30969,-79.81158,NA,NA,2022-06-09T13:24:00Z,2023-07-11T12:47:00Z,6.1,NA,NA,VR2AR,69,548706,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-017,HAM,17,10,NA,NA,43.29488,-79.82113,NA,NA,2022-06-09T13:37:00Z,2023-07-11T14:20:00Z,18.8,NA,NA,VR2AR,69,548283,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-003,HAM,3,10,NA,NA,43.29461,-79.80053,NA,NA,2022-06-09T17:49:00Z,2023-07-10T14:25:00Z,17.6,NA,NA,VR2AR,69,549114,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-021,HAM,21,9,NA,NA,43.28578,-79.82647,NA,NA,2022-06-09T18:05:00Z,2023-07-10T15:02:00Z,18.6,NA,NA,VR2AR,69,549107,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-039,HAM,39,8,NA,NA,43.28176,-79.85158,NA,NA,2022-06-09T18:31:00Z,2023-06-23T16:45:00Z,19.7,NA,NA,VR2AR,69,547996,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-005,HAM,5,9,NA,NA,43.28133,-79.86433,NA,NA,2022-06-09T18:45:00Z,2023-07-10T15:28:00Z,15.3,NA,NA,VR2AR,69,549109,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-023,HAM,23,11,NA,NA,43.28569,-79.86764,NA,NA,2022-06-09T18:58:00Z,2023-07-11T13:37:00Z,9.1,NA,NA,VR2AR,69,547990,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-018,HAM,18,10,NA,NA,43.27267,-79.878,NA,NA,2022-06-09T19:12:00Z,2023-06-23T17:00:00Z,6.9,NA,NA,VR2AR,69,548243,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-015,HAM,15,10,NA,NA,43.29365,-79.85536,NA,NA,2022-06-09T19:29:00Z,2023-07-11T13:20:00Z,7.8,NA,NA,VR2AR,69,548257,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-010,HAM,10,6,NA,NA,43.26856,-79.7815,NA,NA,2022-06-15T13:30:00Z,2022-11-08T15:30:00Z,2,NA,NA,VR2W,69,131523,MAP-115,NA,NA,NA,Yes,HAMLO,No
HAM-027,HAM,27,9,NA,NA,43.27361,-79.87139,NA,NA,2022-07-07T18:35:00Z,2022-11-17T14:55:00Z,11.6,NA,NA,VR2W,69,124715,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-036,HAM,36,11,NA,NA,43.27139,-79.8695,NA,NA,2022-08-03T01:13:00Z,2023-09-14T16:01:00Z,NA,NA,NA,VR2W,69,131493,MAP-114,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-058,HAM,58,6,NA,NA,43.31292,-79.8061,NA,NA,2022-09-01T15:25:00Z,2023-08-16T13:50:00Z,1.2,NA,NA,VR2W,69,124717,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-045,HAM,45,6,NA,NA,43.3046,-79.80238,NA,NA,2022-09-01T15:45:00Z,2023-09-14T15:25:00Z,1.2,NA,NA,VR2W,69,127829,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-011,HAM,11,8,NA,NA,43.2773,-79.8669,NA,NA,2022-09-07T17:27:00Z,2023-09-14T16:58:00Z,12.6,NA,NA,VR2W,69,119711,MAP-115,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-053,HAM,53,8,NA,NA,43.2759,-79.86333,NA,NA,2022-09-08T19:10:00Z,2023-09-14T18:19:00Z,6.3,NA,NA,VR2W,69,133111,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-051,HAM,51,7,NA,NA,43.26976,-79.87317,NA,NA,2022-09-09T18:16:00Z,2023-09-14T16:33:00Z,3.2,NA,NA,VR2W,69,121991,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-013,HAM,13,10,NA,NA,43.29691,-79.80157,NA,NA,2022-09-13T16:31:00Z,2023-08-22T18:55:00Z,10,NA,NA,VR2W,69,119681,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-043,HAM,43,7,NA,NA,43.27957,-79.8915,NA,NA,2022-09-15T16:38:00Z,2023-08-16T19:06:00Z,2,NA,NA,VR2W,69,121999,MAP-115,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-048,HAM,48,7,NA,NA,43.27311,-79.88506,NA,NA,2022-09-15T17:08:00Z,2023-08-16T19:59:00Z,2.5,NA,NA,VR2W,69,132820,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-041,HAM,41,9,NA,NA,43.2767,-79.83893,NA,NA,2022-09-15T17:28:00Z,2023-08-16T15:50:00Z,NA,NA,NA,VR2W,69,133001,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-009,HAM,9,12,NA,NA,43.28036,-79.80383,NA,NA,2022-09-15T17:57:00Z,2023-08-16T14:57:00Z,13,NA,NA,VR2W,69,127827,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-034,HAM,34,11,NA,NA,43.27142,-79.80812,NA,NA,2022-09-15T18:13:00Z,2023-08-16T15:25:00Z,1.6,NA,NA,VR2W,69,121993,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-046,HAM,46,8,NA,NA,43.30771,-79.82588,NA,NA,2022-09-15T18:34:00Z,2023-08-16T14:20:00Z,2,NA,NA,VR2W,69,132997,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-047,HAM,47,7,NA,NA,43.30267,-79.83991,NA,NA,2022-09-15T18:47:00Z,2023-08-16T14:20:00Z,1.5,NA,NA,VR2W,69,121988,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-012,HAM,12,11,NA,NA,43.30048,-79.80591,NA,NA,2022-09-15T19:10:00Z,2023-08-22T18:30:00Z,8,NA,NA,VR2W,69,131525,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-032,HAM,32,10,NA,NA,43.27973,-79.89346,NA,NA,2022-09-28T14:00:00Z,2023-10-06T17:20:00Z,1.9,NA,NA,VR2W,69,127839,MAP-115,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-033,HAM,33,7,NA,NA,43.29208,-79.88394,NA,NA,2022-09-28T18:20:00Z,2023-04-04T18:40:00Z,0.8,NA,NA,VR2W,69,127828,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-029,HAM,29,9,NA,NA,43.28936,-79.88731,NA,NA,2022-09-28T18:57:00Z,2023-04-04T18:22:00Z,1,NA,NA,VR2W,69,132818,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-067,HAM,67,4,NA,NA,43.29409,-79.87926,NA,NA,2022-09-28T20:09:00Z,2023-04-04T20:02:00Z,0.8,NA,NA,VR2W,69,137957,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-035,HAM,35,7,NA,NA,43.26228,-79.77238,NA,NA,2022-10-18T14:59:00Z,2023-10-06T19:35:00Z,2,NA,NA,VR2W,69,131522,MAP-115,error 1 initialization occurred between deploy and recover,NA,NA,No,HAMLO,No
HAM-030,HAM,30,9,NA,NA,43.27192,-79.92519,NA,NA,2022-10-18T16:13:00Z,2023-10-06T18:20:00Z,NA,NA,NA,VR2W,69,132999,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-077,HAM,77,1,NA,NA,43.28064,-79.8693,NA,NA,2022-11-03T16:03:00Z,2023-07-10T15:42:00Z,NA,NA,NA,VR2AR,69,548254,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-076,HAM,76,1,NA,NA,43.28368,-79.87139,NA,NA,2022-11-03T16:09:00Z,2023-07-10T16:49:00Z,NA,NA,NA,VR2AR,69,548251,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-075,HAM,75,1,NA,NA,43.28577,-79.8707,NA,NA,2022-11-03T16:20:00Z,2023-07-10T17:00:00Z,NA,NA,NA,VR2AR,69,548265,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-074,HAM,74,1,NA,NA,43.28268,-79.87783,NA,NA,2022-11-03T16:27:00Z,2023-07-10T16:37:00Z,NA,NA,NA,VR2AR,69,548253,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-073,HAM,73,1,NA,NA,43.280029999999996,-79.88284,NA,NA,2022-11-03T16:33:00Z,2023-07-10T16:25:00Z,NA,NA,NA,VR2AR,69,548241,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-072,HAM,72,1,NA,NA,43.27815,-79.88745,NA,NA,2022-11-03T16:37:00Z,2023-07-10T16:13:00Z,NA,NA,NA,VR2AR,69,548262,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-079,HAM,79,1,NA,NA,43.27475,-79.88547,NA,NA,2022-11-03T16:41:00Z,2023-06-23T17:36:00Z,NA,NA,NA,VR2AR,69,548255,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-078,HAM,78,1,NA,NA,43.27774,-79.87807,NA,NA,2022-11-03T16:57:00Z,2023-07-10T15:56:00Z,NA,NA,NA,VR2AR,69,548276,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-037,HAM,37,7,NA,NA,43.2789,-79.88599,NA,NA,2022-11-23T16:15:00Z,2023-12-01T15:30:00Z,4.9,NA,NA,VR2W,69,119693,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-028,HAM,28,10,NA,NA,43.27556,-79.88082,NA,NA,2022-11-29T15:30:00Z,2023-12-01T15:00:00Z,8,NA,NA,VR2W,69,126878,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-007,HAM,7,10,NA,NA,43.30139,-79.83917,NA,NA,2022-11-29T16:35:00Z,2023-12-01T16:00:00Z,9,NA,NA,VR2W,69,126879,MAP-115,NA,NA,NA,No,HAMLO,No
HAM-004,HAM,4,9,NA,NA,43.28639,-79.84778,NA,NA,2022-11-29T19:30:00Z,2023-11-24T16:10:00Z,23,NA,NA,VR2W,69,131524,MAP-115,NA,NA,NA,No,HAMLO,No
